Incident Angle (deg),Reflectance (%) s-pol
 0 , 3.64000353414139E-03 
 0.9 , 3.64220731221879E-03 
 1.8 , 3.64882511223018E-03 
 2.7 , 3.65987635925436E-03 
 3.6 , 3.67539352107964E-03 
 4.5 , 3.69542224783467E-03 
 5.4 , 3.72002156877794E-03 
 6.3 , 3.74926414756482E-03 
 7.2 , 3.78323659771371E-03 
 8.1 , 3.82203986042341E-03 
 9 , 3.86578964732626E-03 
 9.9 , 3.9146169512513E-03 
 10.8 , 3.96866862857574E-03 
 11.7 , 4.02810805729805E-03 
 12.6 , 4.09311587557156E-03 
 13.5 , 4.16389080609645E-03 
 14.4 , 4.24065057248795E-03 
 15.3 , 4.32363291455707E-03 
 16.2 , 4.4130967103089E-03 
 17.1 , 4.50932321347685E-03 
 18 , 4.61261741649895E-03 
 18.9 , 4.72330955009705E-03 
 19.8 , 4.84175673200498E-03 
 20.7 , 4.96834477896444E-03 
 21.6 , 5.10349019787526E-03 
 22.5 , 5.24764237399182E-03 
 23.4 , 5.40128597633248E-03 
 24.3 , 5.56494360304295E-03 
 25.2 , 5.73917869239812E-03 
 26.1 , 5.92459872847694E-03 
 27 , 6.1218587743827E-03 
 27.9 , 6.3316653702555E-03 
 28.8 , 6.55478083838397E-03 
 29.7 , 6.79202804349575E-03 
 30.6 , 7.0442956629959E-03 
 31.5 , 7.3125440296283E-03 
 32.4 , 7.59781161796349E-03 
 33.3 , 7.90122225646337E-03 
 34.2 , 8.22399315890899E-03 
 35.1 , 8.5674438830017E-03 
 36 , 8.93300634032019E-03 
 36.9 , 9.32223600099854E-03 
 37.8 , 9.73682445898847E-03 
 38.7 , 1.01786135502702E-02 
 39.6 , 1.06496112476266E-02 
 40.5 , 1.11520095925861E-02 
 41.4 , 1.16882049690468E-02 
 42.3 , 1.22608210753314E-02 
 43.2 , 0.012872735013825 
 44.1 , 1.35271069920689E-02 
 45 , 1.42274142189896E-02 
 45.9 , 1.49774896882675E-02 
 46.8 , 1.57815666718887E-02 
 47.7 , 1.66443299062075E-02 
 48.6 , 1.75709746469732E-02 
 49.5 , 1.85672750075823E-02 
 50.4 , 1.96396632871132E-02 
 51.3 , 2.07953223557533E-02 
 52.2 , 2.20422936130791E-02 
 53.1 , 2.33896035929663E-02 
 54 , 2.48474129882779E-02 
 54.9 , 2.64271927492317E-02 
 55.8 , 2.81419330245176E-02 
 56.7 , 3.00063921343579E-02 
 57.6 , 3.20373945840647E-02 
 58.5 , 0.034254189472242 
 59.4 , 3.66788836920229E-02 
 60.3 , 3.93369683024551E-02 
 61.2 , 4.22579616858481E-02 
 62.1 , 4.54762000587068E-02 
 63 , 4.90318152056575E-02 
 63.9 , 5.29719518616276E-02 
 64.8 , 5.73522942747701E-02 
 65.7 , 6.22389950233884E-02 
 66.6 , 0.067711131899012 
 67.5 , 7.38638647170948E-02 
 68.4 , 0.080812529478568 
 69.3 , 8.86980018723552E-02 
 70.2 , 9.76938004413028E-02 
 71.1 , 0.108015605179073 
 71.6538461538462 , 0.115141102697337 
 72 , 0.119934177500346 
 72.5538461538462 , 0.128207520711455 
 72.9 , 0.133793144267075 
 73.4538461538462 , 0.143472398270539 
 73.8 , 0.150033855747225 
 74.3538461538461 , 0.161453926251337 
 74.7 , 0.169230723783205 
 75.2538461538462 , 0.182832522394658 
 75.6 , 0.192142407788194 
 76.1538461538462 , 0.208515784864668 
 76.5 , 0.219787516508213 
 77.0538461538462 , 0.239735913307602 
 77.4 , 0.25355921047188 
 77.9538461538462 , 0.278199540797077 
 78.3 , 0.295403320661219 
 78.8538461538461 , 0.326324821245831 
 79.2 , 0.348103590976044 
 79.5408284023669 , 0.371685675037566 
 79.7538461538462 , 0.387628980252657 
 80.1 , 0.415754411475188 
 80.4408284023669 , 0.446469443262655 
 80.6538461538462 , 0.467386032127259 
 81 , 0.504576050856324 
 81.3408284023669 , 0.545606992109685 
 81.5538461538462 , 0.573792954386139 
 81.9 , 0.624387631169519 
 82.2408284023669 , 0.680906018787858 
 82.4538461538462 , 0.720147297555507 
 82.8 , 0.791420326959402 
 83.1408284023669 , 0.872278868027741 
 83.3538461538461 , 0.929174619567599 
 83.5668639053254 , 0.991740643036727 
 83.7 , 1.03406335241032 
 83.9097405553027 , 1.10637022515318 
 84.0408284023669 , 1.15542999547035 
 84.2538461538462 , 1.24230976938225 
 84.4668639053255 , 1.33923597662348 
 84.6 , 1.4056156405101 
 84.8097405553027 , 1.52052401125554 
 84.9408284023669 , 1.59955556615551 
 85.1538461538462 , 1.74160271107038 
 85.3668639053254 , 1.90319038305762 
 85.5 , 2.01572599031558 
 85.7097405553027 , 2.21409055056895 
 85.8408284023669 , 2.35311284203091 
 85.971916249431 , 2.50547258469787 
 86.0538461538462 , 2.60823426310132 
 86.1849340009103 , 2.78611686921234 
 86.2668639053255 , 2.90656375376169 
 86.4 , 3.11937931608782 
 86.5290711109555 , 3.34846554182942 
 86.6097405553027 , 3.50449677835529 
 86.7408284023669 , 3.78194071682435 
 86.8719162494311 , 4.09308184250805 
 86.9538461538462 , 4.30709511978001 
 87.0849340009103 , 4.68543494594143 
 87.1668639053254 , 4.94726101939872 
 87.3 , 5.42096893493421 
 87.4290711109555 , 5.94665235205907 
 87.5097405553027 , 6.31400901889687 
 87.6408284023669 , 6.98577177157386 
 87.7214978467141 , 7.45227374782413 
 87.771916249431 , 7.76724641028082 
 87.8538461538461 , 8.32194597367925 
 87.9345155981933 , 8.92617390252283 
 87.9849340009103 , 9.33662196659492 
 88.0668639053254 , 10.0641512648995 
 88.1487938097406 , 10.8763672309177 
 88.2 , 11.4326787434833 
 88.2794283759726 , 12.3796230466124 
 88.3290711109555 , 13.0293211671595 
 88.3787138459384 , 13.7286725962171 
 88.4097405553027 , 14.1931136996858 
 88.4593832902856 , 14.9837342992322 
 88.4904099996499 , 15.5097683335091 
 88.5408284023669 , 16.4215316785823 
 88.5904711373498 , 17.3943504962543 
 88.6214978467141 , 18.0435986128064 
 88.6525245560784 , 18.7270035883018 
 88.6719162494311 , 19.1724453909285 
 88.7029429587953 , 19.9161003937862 
 88.722334652148 , 20.4011580218074 
 88.7538461538462 , 21.2245282603005 
 88.7843955292202 , 22.0666633353576 
 88.803488888829 , 22.6161832854119 
 88.8345155981933 , 23.5493247508802 
 88.8655423075576 , 24.5350084430489 
 88.8849340009103 , 25.1792427075957 
 88.9040273605191 , 25.8357543617248 
 88.9159607102746 , 26.2576364157615 
 88.9353524036273 , 26.9628096587612 
 88.95474409698 , 27.6930953502112 
 88.9668639053255 , 28.1627085090289 
 88.9859572649343 , 28.9237921712408 
 88.9978906146898 , 29.4130515966697 
 89.0172823080424 , 30.2311103126872 
 89.0366740013951 , 31.0785871733476 
 89.0487938097406 , 31.6236795176073 
 89.0681855030932 , 32.5212794069618 
 89.0803053114387 , 33.0986105413298 
 89.1 , 34.0643902915321 
 89.1185103907592 , 35.0041840504599 
 89.1300793849837 , 35.6077937560973 
 89.1416483792082 , 36.2241829973642 
 89.1488790005985 , 36.6160221989206 
 89.160447994823 , 37.2536874761073 
 89.1676786162134 , 37.6590197604981 
 89.1794283759726 , 38.328998359585 
 89.1909973701971 , 39.002559746055 
 89.1982279915874 , 39.4306359134535 
 89.2099777513467 , 40.1380714669697 
 89.221727511106 , 40.8603287811058 
 89.2290711109555 , 41.319364272565 
 89.24064010518 , 42.054566378888 
 89.2478707265703 , 42.5216253620352 
 89.2596204863296 , 43.29313244835 
 89.2713702460889 , 44.0803212874007 
 89.2787138459384 , 44.5803545622499 
 89.2904636056977 , 45.3933851538688 
 89.2978072055472 , 45.9096953027666 
 89.3097405553027 , 46.7621915841572 
 89.3213095495272 , 47.6047016979111 
 89.3285401709175 , 48.1393304279398 
 89.3402899306768 , 49.0213741141307 
 89.352039690436 , 49.9198890875196 
 89.3593832902856 , 50.4898346600398 
 89.3711330500448 , 51.4151399415179 
 89.3784766498944 , 52.0018123030401 
 89.3904099996499 , 52.9688162930405 
 89.4021597594092 , 53.9373780507385 
 89.4095033592587 , 54.5509487062599 
 89.4168469591082 , 55.1707908646097 
 89.4214367090142 , 55.5613545336085 
 89.4287803088637 , 56.1912752471099 
 89.4333700587697 , 56.5880880860048 
 89.4408284023669 , 57.2379632627261 
 89.4479477834281 , 57.8640749990007 
 89.4523973965914 , 58.2582222147548 
 89.4596280179817 , 58.9032871286275 
 89.466858639372 , 59.5539315992021 
 89.471377777741 , 59.9633707555997 
 89.4786083991313 , 60.6228501106598 
 89.4831275375002 , 61.0377133946102 
 89.4904711373498 , 61.7161811361644 
 89.4977017587401 , 62.3893055094445 
 89.502220897109 , 62.8125082836596 
 89.5095644969586 , 63.5041969106506 
 89.5169080968081 , 64.2006621729328 
 89.5214978467141 , 64.6382944592525 
 89.5287284681044 , 65.3312488108474 
 89.5332476064733 , 65.7664517545079 
 89.5405912063229 , 66.4769563635737 
 89.5479348061724 , 67.191341042614 
 89.5525245560784 , 67.6396919529051 
 89.5598681559279 , 68.3598449816186 
 89.5644579058339 , 68.8115815252787 
 89.5719162494311 , 69.5481364963093 
 89.5791468708214 , 70.264879832168 
 89.5836660091903 , 70.7140490864564 
 89.5910096090399 , 71.4456972675922 
 89.5983532088894 , 72.1792128781576 
 89.6029429587954 , 72.6384512289458 
 89.6102865586449 , 73.3742362054578 
 89.6148763085508 , 73.8345835144613 
 89.622334652148 , 74.5831479194847 
 89.6296782519976 , 75.3204361733022 
 89.6342680019035 , 75.7811725114105 
 89.6417263455007 , 76.5294333966165 
 89.6491846890979 , 77.2767389276737 
 89.6538461538462 , 77.743101345769 
 89.6609655349074 , 78.4539959611037 
 89.6654151480707 , 78.8972872946373 
 89.672645769461 , 79.6156248085121 
 89.6798763908513 , 80.3310360672889 
 89.6843955292202 , 80.7764542955676 
 89.6916261506106 , 81.4860075528671 
 89.6961452889795 , 81.9273262821538 
 89.703488888829 , 82.640536340944 
 89.7107195102194 , 83.337519313007 
 89.7152386485883 , 83.7702308621444 
 89.7225822484378 , 84.4681980089645 
 89.7299258482874 , 85.1591995507143 
 89.7345155981934 , 85.5872584417936 
 89.7417462195837 , 86.2552186257586 
 89.7462653579526 , 86.6684829907758 
 89.7536089578022 , 87.3326711035203 
 89.7609525576517 , 87.9871618705418 
 89.7655423075577 , 88.390997601353 
 89.7728859074072 , 89.0283028669724 
 89.7774756573131 , 89.4208410072417 
 89.7849340009103 , 90.0487381738896 
 89.7966837606696 , 91.0113173367408 
 89.8040273605191 , 91.5953341812899 
 89.8159607102746 , 92.5134500086472 
 89.8278940600301 , 93.3907680930284 
 89.8353524036273 , 93.9171018839939 
 89.8472857533828 , 94.7220544768397 
 89.85474409698 , 95.2008653178041 
 89.8668639053254 , 95.9371341111002 
 89.8786136650847 , 96.5993070234186 
 89.8859572649342 , 96.9863049602598 
 89.8978906146897 , 97.5694827606442 
 89.9172823080424 , 98.3915497467921 
 89.9487938097406 , 99.3774341429806 
 90 , 100 
